from_ref,to_ref,openbible,souliberty,douay,na27,openbible_votes,generated_reverse,catholic_package
REV.9.3,WIS.16.9,0,0,0,1,0,0,1
REV.9.4,SIR.44.18,0,0,0,1,0,0,1
ROM.1.19,WIS.13.1,0,0,0,1,0,0,1
ROM.1.21,WIS.13.1,0,0,0,1,0,0,1
ROM.1.23,WIS.11.14,0,0,0,1,0,0,1
ROM.1.23,WIS.12.24,0,0,0,1,0,0,1
ROM.1.28,2MA.6.4,0,0,0,1,0,0,1
ROM.10.6,BAR.3.29,0,0,0,1,0,0,1
ROM.10.7,WIS.16.13,0,0,0,1,0,0,1
ROM.11.15,SIR.10.20,0,0,0,1,0,0,1
ROM.11.33,WIS.17.1,0,0,0,1,0,0,1
ROM.11.4,2MA.2.4,0,0,0,1,0,0,1
ROM.12.15,SIR.7.34,0,0,0,1,0,0,1
ROM.13.1,SIR.4.27,0,0,0,1,0,0,1
ROM.13.1,WIS.6.2,0,0,0,1,0,0,1
ROM.13.10,WIS.6.17,0,0,0,1,0,0,1
ROM.15.4,1MA.12.9,0,0,0,1,0,0,1
ROM.15.8,SIR.36.20,0,0,0,1,0,0,1
ROM.2.11,SIR.35.12,0,0,0,1,0,0,1
ROM.2.15,WIS.17.11,0,0,0,1,0,0,1
ROM.2.4,WIS.11.22,0,0,0,1,0,0,1
ROM.4.13,SIR.44.21,0,0,0,1,0,0,1
ROM.4.17,SIR.44.19,0,0,0,1,0,0,1
ROM.5.12,WIS.2.24,0,0,0,1,0,0,1
ROM.5.5,SIR.18.11,0,0,0,1,0,0,1
ROM.9.19,WIS.12.12,0,0,0,1,0,0,1
ROM.9.21,WIS.15.7,0,0,0,1,0,0,1
ROM.9.31,SIR.27.8,0,0,0,1,0,0,1
ROM.9.31,WIS.2.11,0,0,0,1,0,0,1
ROM.9.4,2MA.6.23,0,0,0,1,0,0,1
ROM.9.4,SIR.44.12,0,0,0,1,0,0,1
SIR.1.10,1CO.2.9,0,0,0,1,0,0,1
SIR.1.24,COL.2.3,0,0,0,1,0,0,1
SIR.1.30,ACT.13.10,0,0,0,1,0,0,1
SIR.1.8,REV.5.7,0,0,0,1,0,0,1
SIR.10.14,LUK.1.52,0,0,0,1,0,0,1
SIR.10.20,ROM.11.15,0,0,0,1,0,0,1
SIR.11.19,LUK.10.19,0,0,0,1,0,0,1
SIR.13.17,MAT.10.16,0,0,0,1,0,0,1
SIR.14.1,JAS.3.2,0,0,0,1,0,0,1
SIR.14.10,MAT.6.23,0,0,0,1,0,0,1
SIR.15.11,JAS.1.13,0,0,0,1,0,0,1
SIR.16.12,1PE.1.3,0,0,0,1,0,0,1
SIR.16.12,REV.20.12,0,0,0,1,0,0,1
SIR.16.21,JHN.3.8,0,0,0,1,0,0,1
SIR.17.17,HEB.2.5,0,0,0,1,0,0,1
SIR.17.26,2TI.2.19,0,0,0,1,0,0,1
SIR.17.3,1CO.11.7,0,0,0,1,0,0,1
SIR.18.1,REV.1.18,0,0,0,1,0,0,1
SIR.18.1,REV.4.11,0,0,0,1,0,0,1
SIR.18.10,2PE.3.18,0,0,0,1,0,0,1
SIR.18.11,ROM.5.5,0,0,0,1,0,0,1
SIR.19.26,ACT.12.10,0,0,0,1,0,0,1
SIR.2.1,JAS.1.2,0,0,0,1,0,0,1
SIR.2.18,MRK.9.32,0,0,0,1,0,0,1
SIR.2.2,HEB.11.27,0,0,0,1,0,0,1
SIR.2.5,1PE.1.7,0,0,0,1,0,0,1
SIR.20.30,MAT.13.44,0,0,0,1,0,0,1
SIR.23.1,JAS.3.9,0,0,0,1,0,0,1
SIR.23.1,MAT.6.9,0,0,0,1,0,0,1
SIR.23.10,2TI.2.19,0,0,0,1,0,0,1
SIR.23.17,1CO.6.18,0,0,0,1,0,0,1
SIR.23.4,JAS.3.9,0,0,0,1,0,0,1
SIR.23.4,MAT.6.9,0,0,0,1,0,0,1
SIR.24.19,MAT.11.28,0,0,0,1,0,0,1
SIR.24.21,JHN.6.35,0,0,0,1,0,0,1
SIR.24.32,ACT.2.39,0,0,0,1,0,0,1
SIR.24.40,JHN.7.38,0,0,0,1,0,0,1
SIR.24.43,JHN.7.38,0,0,0,1,0,0,1
SIR.25.23,HEB.12.12,0,0,0,1,0,0,1
SIR.25.7,MAT.5.2,0,0,0,1,0,0,1
SIR.26.14,MRK.8.37,0,0,0,1,0,0,1
SIR.27.6,MAT.7.16,0,0,0,1,0,0,1
SIR.27.8,ROM.9.31,0,0,0,1,0,0,1
SIR.28.12,JAS.3.10,0,0,0,1,0,0,1
SIR.28.18,LUK.21.24,0,0,0,1,0,0,1
SIR.28.2,MAT.6.12,0,0,0,1,0,0,1
